medal_type,medal_code,name,gender,nationality,discipline,event,code_athlete
Gold Medal,1,EVENEPOEL Remco,Male,Belgium,Cycling Road,Men's Individual Time Trial,1903136
Silver Medal,2,GANNA Filippo,Male,Italy,Cycling Road,Men's Individual Time Trial,1923520
Bronze Medal,3,van AERT Wout,Male,Belgium,Cycling Road,Men's Individual Time Trial,1903147
Gold Medal,1,BROWN Grace,Female,Australia,Cycling Road,Women's Individual Time Trial,1940173
Silver Medal,2,HENDERSON Anna,Female,Great Britain,Cycling Road,Women's Individual Time Trial,1912525
Bronze Medal,3,DYGERT Chloe,Female,United States,Cycling Road,Women's Individual Time Trial,1955079
Gold Medal,1,OH Sanguk,Male,Korea,Fencing,Men's Sabre Individual,1927149
Silver Medal,2,FERJANI Fares,Male,Tunisia,Fencing,Men's Sabre Individual,1937783
Bronze Medal,3,SAMELE Luigi,Male,Italy,Fencing,Men's Sabre Individual,1924595
Gold Medal,1,KONG Man Wai Vivian,Female,"Hong Kong, China",Fencing,Women's Épée Individual,1963262
Silver Medal,2,MALLO-BRETON Auriane,Female,France,Fencing,Women's Épée Individual,1916183
Bronze Medal,3,MUHARI Eszter,Female,Hungary,Fencing,Women's Épée Individual,1946375
Gold Medal,1,SMETOV Yeldos,Male,Kazakhstan,Judo,Men -60 kg,1935408
Silver Medal,2,MKHEIDZE Luka,Male,France,Judo,Men -60 kg,1891304
Bronze Medal,3,NAGAYAMA Ryuju,Male,Japan,Judo,Men -60 kg,1896752
Bronze Medal,3,GARRIGOS Francisco,Male,Spain,Judo,Men -60 kg,1563544
Gold Medal,1,TSUNODA Natsumi,Female,Japan,Judo,Women -48 kg,1896735
Silver Medal,2,BAVUUDORJ Baasankhuu,Female,Mongolia,Judo,Women -48 kg,1914467
Bronze Medal,3,BOUKLI Shirine,Female,France,Judo,Women -48 kg,1891280
Bronze Medal,3,BABULFATH Tara,Female,Sweden,Judo,Women -48 kg,1571911
Gold Medal,1,MAERTENS Lukas,Male,Germany,Swimming,Men's 400m Freestyle,1907192
Silver Medal,2,WINNINGTON Elijah,Male,Australia,Swimming,Men's 400m Freestyle,1946172
Bronze Medal,3,KIM Woomin,Male,Korea,Swimming,Men's 400m Freestyle,4654306
Gold Medal,1,TITMUS Ariarne,Female,Australia,Swimming,Women's 400m Freestyle,1946150
Silver Medal,2,McINTOSH Summer,Female,Canada,Swimming,Women's 400m Freestyle,1967140
Bronze Medal,3,LEDECKY Katie,Female,United States,Swimming,Women's 400m Freestyle,1935938
Gold Medal,1,FOX Jessica,Female,Australia,Canoe Slalom,Women's Kayak Single,1940205
Silver Medal,2,ZWOLINSKA Klaudia,Female,Poland,Canoe Slalom,Women's Kayak Single,1942126
Bronze Medal,3,WOODS Kimberley,Female,Great Britain,Canoe Slalom,Women's Kayak Single,1896045
Gold Medal,1,FERRAND PREVOT Pauline,Female,France,Cycling Mountain Bike,Women's Cross-country,1895672
Silver Medal,2,BATTEN Haley,Female,United States,Cycling Mountain Bike,Women's Cross-country,1955070
Bronze Medal,3,RISSVEDS Jenny,Female,Sweden,Cycling Mountain Bike,Women's Cross-country,1564023
Gold Medal,1,KANO Koki,Male,Japan,Fencing,Men's Épée Individual,1896548
Silver Medal,2,BOREL Yannick,Male,France,Fencing,Men's Épée Individual,1916194
Bronze Medal,3,ELSAYED Mohamed,Male,Egypt,Fencing,Men's Épée Individual,1936462
Gold Medal,1,KIEFER Lee,Female,United States,Fencing,Women's Foil Individual,1950611
Silver Medal,2,SCRUGGS Lauren,Female,United States,Fencing,Women's Foil Individual,1950643
Bronze Medal,3,HARVEY Eleanor,Female,Canada,Fencing,Women's Foil Individual,1973213
Gold Medal,1,ABE Hifumi,Male,Japan,Judo,Men -66 kg,1896763
Silver Medal,2,LIMA Willian,Male,Brazil,Judo,Men -66 kg,1953840
Bronze Medal,3,KYRGYZBAYEV Gusman,Male,Kazakhstan,Judo,Men -66 kg,1935410
