code,name,gender,country_code,country,height,weight,disciplines,birth_date,residence_place,residence_country
1532872,ALEKSANYAN Artur,Male,ARM,Armenia,182,71,Wrestling,21-10-1991,GYUMRI,Armenia
1532873,AMOYAN Malkhas,Male,ARM,Armenia,150,52,Wrestling,22-01-1999,YEREVAN,Armenia
1532874,GALSTYAN Slavik,Male,ARM,Armenia,183,55,Wrestling,21-12-1996,YEREVAN,Armenia
1532944,HARUTYUNYAN Arsen,Male,ARM,Armenia,150,50,Wrestling,22-11-1999,YEREVAN,Armenia
1532945,TEVANYAN Vazgen,Male,ARM,Armenia,173,53,Wrestling,27-10-1999,,Armenia
1532951,ARENAS Lorena,Female,COL,Colombia,150,67,Athletics,17-09-1993,MELBOURNE,Australia
1533112,McKENZIE Ashley,Male,JAM,Jamaica,182,56,Judo,17-07-1989,CAMBERLEY,Great Britain
1533136,BASS BITTAYE Gina Mariam,Female,GAM,Gambia,176,58,Athletics,03-05-1995,,
1533176,CAMARA Ebrahima,Male,GAM,Gambia,168,67,Athletics,18-09-1996,ANGERS,France
1533188,RUEDA SANTOS Lizeth,Female,MEX,Mexico,162,54,Triathlon,07-03-1994,XALAPA,Mexico
1533189,TAPIA VIDAL Rosa Maria,Female,MEX,Mexico,172,55,Triathlon,27-08-1997,GUADALAJARA,Mexico
1533190,GRAJALES Crisanto,Male,MEX,Mexico,167,50,Triathlon,06-05-1987,XALAPA,Mexico
1533208,MAAROUFOU Hachim,Male,COM,Comoros,152,54,Athletics,13-02-1997,MARSEILLE,France
1533209,SAADI Maesha,Female,COM,Comoros,154,57,Swimming,16-01-2007,SAINT-ROMAIN-EN-GAL,France
1533230,DIOSDADO Nuria,Female,MEX,Mexico,176,77,Artistic Swimming,22-08-1990,MEXICO CITY,Mexico
1533231,JIMENEZ Joana,Female,MEX,Mexico,178,52,Artistic Swimming,19-08-1993,MEXICO CITY,Mexico
1533232,SOBRINO Jessica,Female,MEX,Mexico,164,74,Artistic Swimming,26-05-1994,MEXICO CITY,Mexico
1533234,ALFEREZ Regina,Female,MEX,Mexico,158,73,Artistic Swimming,01-12-1997,MEXICO CITY,Mexico
1533235,ARELLANO Fernanda,Female,MEX,Mexico,155,83,Artistic Swimming,28-02-2002,MEXICO CITY,Mexico
1533237,TOSCANO Pamela,Female,MEX,Mexico,188,54,Artistic Swimming,13-01-2000,GUADALAJARA,Mexico
1533239,GONZALEZ Itzamary,Female,MEX,Mexico,161,63,Artistic Swimming,14-11-2003,,
1533240,RODRIGUEZ Samanta,Female,MEX,Mexico,153,75,Artistic Swimming,05-12-1994,,
1533243,INZUNZA Glenda,Female,MEX,Mexico,174,73,Artistic Swimming,12-03-2000,,
1533245,SEHEN Sajjad,Male,IRQ,Iraq,166,54,Judo,08-03-1996,,Iraq
1533359,RUBAIAWI Ali Ammar Yusur,Male,IRQ,Iraq,172,59,Weightlifting,02-08-2004,BAGHDAD,Iraq
1533364,ISMAIL Mohamed,Male,DJI,Djibouti,189,73,Athletics,01-01-1997,ALI SABIEH,Djibouti
1533371,HASSAN Ibrahim,Male,DJI,Djibouti,167,75,Athletics,01-01-1997,,Djibouti
1533372,WAISS Abdi,Male,DJI,Djibouti,155,60,Athletics,03-07-1996,,
1533374,HASSAN NOUR Samiyah,Female,DJI,Djibouti,173,53,Athletics,05-12-1999,,
1533378,HOUSSEIN BARKAT Houmed,Male,DJI,Djibouti,190,63,Swimming,04-04-2004,DJIBOUTI,Djibouti
1535180,BARAT Andy,Male,COM,Comoros,175,83,Canoe Slalom,29-11-1997,,France
1535186,MARTINEZ RAMIREZ Miguel Angel,Male,MEX,Mexico,169,78,Boxing,17-03-2001,,Mexico
1535187,VERDE ALVAREZ Marco Alonso,Male,MEX,Mexico,164,50,Boxing,11-02-2002,MAZATLAN,Mexico
1535191,GONZALEZ Alegna,Female,MEX,Mexico,164,66,Athletics,02-01-1999,MEXICO CITY,Mexico
1535195,LOPEZ Jesus Tonatiu,Male,MEX,Mexico,178,82,Athletics,02-08-1997,HERMOSILLO,Mexico
1535199,PORTILLO Erick,Male,MEX,Mexico,190,58,Athletics,05-10-2000,MEXICO CITY,Mexico
1535201,MUNOZ Uziel,Male,MEX,Mexico,156,63,Athletics,08-09-1995,MONTERREY,Mexico
1535202,del REAL Diego,Male,MEX,Mexico,152,56,Athletics,06-03-1994,MONTERREY,Mexico
1535203,DOCTOR Jose Luis,Male,MEX,Mexico,171,63,Athletics,14-06-1996,MEXICO CITY,Mexico
1535212,MORAN Paola,Female,MEX,Mexico,180,71,Athletics,25-02-1997,GUADALAJARA,Mexico
1535214,GALVAN Laura,Female,MEX,Mexico,173,69,Athletics,05-10-1991,GUANAJUATO,Mexico
1535216,CORTES Alma Delia,Female,MEX,Mexico,157,66,Athletics,26-12-1997,TULTITLAN,Mexico
1535217,CRISTIAN MOSCOTE Citlali,Female,MEX,Mexico,187,52,Athletics,15-04-1995,ZAPOPAN,Mexico
1535222,PALMA OLIVARES Ever Jair,Male,MEX,Mexico,189,66,Athletics,18-03-1992,,Mexico
1535225,OETLING RAMIREZ Elena,Female,MEX,Mexico,174,83,Sailing,18-04-1993,CHAPALA,Mexico
1535226,AGUILAR CHAVEZ PEON Mariana,Female,MEX,Mexico,153,62,Sailing,12-03-1999,,Mexico
1535252,LECHUGA ALANIS Kenia,Female,MEX,Mexico,166,61,Rowing,26-06-1994,MEXICO CITY,Mexico
1535260,LOPEZ GARCIA Alexis,Male,MEX,Mexico,180,51,Rowing,01-05-1997,MEXICO CITY,Mexico
1535267,CARBALLO NIETO Miguel,Male,MEX,Mexico,185,83,Rowing,08-07-1992,MEXICO CITY,Mexico
